sampleid	Phylum	Class	Order	Family	Genus	Species	DietSimp	DietSpec	Diet_2	Notes	Study	16S515F-806R	FASTQ.gzfiles	Metadata(custom)	pairedORsingle	initials	duplicate
Clever30	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon	Chaetodon_Capistratus	Omnivore	Planktivore	NA	NA	Clever_et_al_2022	V4	yes	NA	paired	DW	NA
Le1	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le2	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le3	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le4	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le5	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le6	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le7	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le8	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le9	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
Le10	Chordata	Actinopterygii	Perciformes	Siganidae	Siganus	Siganus_Guttatus	Omnivore	Planktivore	NA	NA	Le_et_al_2019	V3	yes	NA	paired	DW	NA
